First Name,Last Name,Enrollment No,Full Name,Clan,Course,Parents Name,Mobile Number,Email,Band Color,Hostel Allocated,Fees Paid,Pending Fees
Aagam,Jain,2503210001,AAGAM JAIN,Chola,B.Design,Anil Jain,+91613427546,aagam.anil@gmail.com,Blue,False,True,True
Arit,Dey,2503210002,ARIT DEY,Chola,B.Design,Deepak Dey,+91731475314,arit.deepak@gmail.com,Red,False,False,False
Oshi,prasad,2503210015,OSHI PRASAD,Chola,B.Design,Ajay prasad,+91674913853,oshi.ajay@gmail.com,Red,False,True,True
Parth,shringi,2503210016,PARTH SHRINGI,Chola,B.Design,Anil shringi,+91963300269,parth.anil@gmail.com,Blue,False,True,False
PRATEEK,GIRDHAR,2503210035,PRATEEK GIRDHAR,Chola,B.Design,Ashok GIRDHAR,+91646674928,prateek.ashok@gmail.com,Red,False,False,False
Purvit,Kamboj,2503210018,PURVIT KAMBOJ,Chola,B.Design,Karan Kamboj,+91826517555,purvit.karan@gmail.com,Blue,False,True,False
Sneha,RAWAT,2503210034,SNEHA RAWAT,Chola,B.Design,Suresh RAWAT,+91615997261,sneha.suresh@gmail.com,Red,True,True,False
Tanishka,Rawat,2503210025,TANISHKA RAWAT,Chola,B.Design,Ramesh Rawat,+91717380369,tanishka.ramesh@gmail.com,Red,False,True,True
Abhinav,Sukhwal,2504310001,ABHINAV SUKHWAL,Chola,B.Sc (Hons) Psychology,Ajay Sukhwal,+91871310554,abhinav.ajay@gmail.com,Blue,False,True,True
Adhishtha,Sharma,2504310042,ADHISHTHA SHARMA,Chola,B.Sc (Hons) Psychology,Rahul Sharma,+91614246390,adhishtha.rahul@gmail.com,Red,False,True,True
Bhumika,singh,2504310009,BHUMIKA SINGH,Chola,B.Sc (Hons) Psychology,Ashok singh,+91706750149,bhumika.ashok@gmail.com,Red,False,True,True
Harshit,atwal,2504310018,HARSHIT ATWAL,Chola,B.Sc (Hons) Psychology,Ashok atwal,+91825227988,harshit.ashok@gmail.com,Blue,False,False,False
KUMARI,ANANYA,2504310021,KUMARI ANANYA,Chola,B.Sc (Hons) Psychology,Ajay ANANYA,+91841167269,kumari.ajay@gmail.com,Blue,False,False,False
Nandika,Bisht,2504310047,NANDIKA BISHT,Chola,B.Sc (Hons) Psychology,Karan Bisht,+91749352498,nandika.karan@gmail.com,Red,False,True,True
Shreya,Singh,2504310031,SHREYA SINGH,Chola,B.Sc (Hons) Psychology,Rajesh Singh,+91685716440,shreya.rajesh@gmail.com,Red,False,True,False
Shreya,Verma,2504310030,SHREYA VERMA,Chola,B.Sc (Hons) Psychology,Vikram Verma,+91782670606,shreya.vikram@gmail.com,Blue,False,False,False
Siddharth,Pandey,2504310032,SIDDHARTH PANDEY,Chola,B.Sc (Hons) Psychology,Deepak Pandey,+91683472422,siddharth.deepak@gmail.com,Blue,False,True,False
Vaibhav,Saini,2504310051,VAIBHAV SAINI,Chola,B.Sc (Hons) Psychology,Sanjay Saini,+91780707823,vaibhav.sanjay@gmail.com,Blue,False,True,True
Aadi,kalra,2501010002,AADI KALRA,Chola,B.Tech - Computer Science and Artificial Intelligence,Anil kalra,+91649792546,aadi.anil@gmail.com,Red,True,True,True
Aaditya,bansal,2501010617,AADITYA BANSAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Rakesh bansal,+91651924210,aaditya.rakesh@gmail.com,Red,True,False,True
Aarya,Upadhyay,2501010005,AARYA UPADHYAY,Chola,B.Tech - Computer Science and Artificial Intelligence,Alok Upadhyay,+91784659822,aarya.alok@gmail.com,Blue,False,True,False
Aaryan,Sharma,2501010007,AARYAN SHARMA,Chola,B.Tech - Computer Science and Artificial Intelligence,Rahul Sharma,+91742013556,aaryan.rahul@gmail.com,Red,False,False,True
Aastik,Yadav,2501010008,AASTIK YADAV,Chola,B.Tech - Computer Science and Artificial Intelligence,Suresh Yadav,+91991771770,aastik.suresh@gmail.com,Blue,True,True,True
Abhinav,Tayal,2501010016,ABHINAV TAYAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Manoj Tayal,+91887885264,abhinav.manoj@gmail.com,Red,False,False,True
Abhishek,Gupta,2501010017,ABHISHEK GUPTA,Chola,B.Tech - Computer Science and Artificial Intelligence,Anil Gupta,+91803224098,abhishek.anil@gmail.com,Blue,True,False,True
Aditya,Gupta,2501010033,ADITYA GUPTA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ramesh Gupta,+91896374558,aditya.ramesh@gmail.com,Blue,True,True,True
Aditya,Singla,2501010031,ADITYA SINGLA,Chola,B.Tech - Computer Science and Artificial Intelligence,Pradeep Singla,+91937498421,aditya.pradeep@gmail.com,Red,True,False,True
Aish,Sagwal,2501010038,AISH SAGWAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Rahul Sagwal,+91794151326,aish.rahul@gmail.com,Red,True,True,False
Akash,Mukherjee,2501010043,AKASH MUKHERJEE,Chola,B.Tech - Computer Science and Artificial Intelligence,Karan Mukherjee,+91703234149,akash.karan@gmail.com,Blue,True,False,False
Akshansh,Gandhi,2501010045,AKSHANSH GANDHI,Chola,B.Tech - Computer Science and Artificial Intelligence,Ramesh Gandhi,+91624601779,akshansh.ramesh@gmail.com,Red,False,True,True
Akshat,Tripathi,2501010584,AKSHAT TRIPATHI,Chola,B.Tech - Computer Science and Artificial Intelligence,Ajay Tripathi,+91755363977,akshat.ajay@gmail.com,Red,True,True,True
AMAN,MISHRA,2501010050,AMAN MISHRA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ramesh MISHRA,+91724978655,aman.ramesh@gmail.com,Red,False,False,False
Amit,Pal,2501010667,AMIT PAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Anil Pal,+91804078714,amit.anil@gmail.com,Red,False,True,False
Aniket,Kumar,2501010635,ANIKET KUMAR,Chola,B.Tech - Computer Science and Artificial Intelligence,Deepak Kumar,+91843422802,aniket.deepak@gmail.com,Red,True,True,True
Ankit,Kumar,2501010061,ANKIT KUMAR,Chola,B.Tech - Computer Science and Artificial Intelligence,Alok Kumar,+91687324253,ankit.alok@gmail.com,Blue,True,False,True
ANKUR,AGARWAL,2501010063,ANKUR AGARWAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Alok AGARWAL,+91790734506,ankur.alok@gmail.com,Red,False,True,True
ANMOL,GAUTAM,2501010066,ANMOL GAUTAM,Chola,B.Tech - Computer Science and Artificial Intelligence,Sanjay GAUTAM,+91959797556,anmol.sanjay@gmail.com,Red,True,True,True
Ansh,singh,2501010070,ANSH SINGH,Chola,B.Tech - Computer Science and Artificial Intelligence,Deepak singh,+91976786911,ansh.deepak@gmail.com,Red,True,False,False
ANUKALP,KUMAR,2501010073,ANUKALP KUMAR,Chola,B.Tech - Computer Science and Artificial Intelligence,Ramesh KUMAR,+91927024718,anukalp.ramesh@gmail.com,Red,False,False,True
Anushka,Mishra,2501010608,ANUSHKA MISHRA,Chola,B.Tech - Computer Science and Artificial Intelligence,Vijay Mishra,+91886764160,anushka.vijay@gmail.com,Red,False,True,True
Aranav,Chhabra,2501010676,ARANAV CHHABRA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ajay Chhabra,+91687726045,aranav.ajay@gmail.com,Red,True,True,True
Arjun,Verma,2501010693,ARJUN VERMA,Chola,B.Tech - Computer Science and Artificial Intelligence,Manoj Verma,+91803718590,arjun.manoj@gmail.com,Red,False,False,True
arnav,bansal,2501010643,ARNAV BANSAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Deepak bansal,+91943597253,arnav.deepak@gmail.com,Blue,True,False,False
Arpit,Chhimpa,2501010083,ARPIT CHHIMPA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ashok Chhimpa,+91717904996,arpit.ashok@gmail.com,Red,True,True,False
Ashwin,Singh,2501010097,ASHWIN SINGH,Chola,B.Tech - Computer Science and Artificial Intelligence,Sandeep Singh,+91630031457,ashwin.sandeep@gmail.com,Blue,True,False,False
Avaneja,Rikhta,2501010105,AVANEJA RIKHTA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ajay Rikhta,+91617233684,avaneja.ajay@gmail.com,Red,False,True,True
Ayushmaan,Daksh,2501010110,AYUSHMAAN DAKSH,Chola,B.Tech - Computer Science and Artificial Intelligence,Sandeep Daksh,+91815373707,ayushmaan.sandeep@gmail.com,Blue,False,True,True
Badal,khandelwal,2501010111,BADAL KHANDELWAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Deepak khandelwal,+91635534736,badal.deepak@gmail.com,Blue,False,True,False
Devansh,Chauhan,2501010702,DEVANSH CHAUHAN,Chola,B.Tech - Computer Science and Artificial Intelligence,Sanjay Chauhan,+91904502471,devansh.sanjay@gmail.com,Blue,False,True,True
DEVANSHI,KUMARI,2501010139,DEVANSHI KUMARI,Chola,B.Tech - Computer Science and Artificial Intelligence,Sandeep KUMARI,+91714153005,devanshi.sandeep@gmail.com,Blue,False,True,True
Dhruv,Chhabra,2501010143,DHRUV CHHABRA,Chola,B.Tech - Computer Science and Artificial Intelligence,Arun Chhabra,+91812403258,dhruv.arun@gmail.com,Blue,True,False,False
Dia,Chowdhary,2501010598,DIA CHOWDHARY,Chola,B.Tech - Computer Science and Artificial Intelligence,Manoj Chowdhary,+91676703600,dia.manoj@gmail.com,Red,True,False,False
DIVYANSHI,SINGH,2501010155,DIVYANSHI SINGH,Chola,B.Tech - Computer Science and Artificial Intelligence,Deepak SINGH,+91674963459,divyanshi.deepak@gmail.com,Blue,True,False,False
Divyanshu,Sharma,2501010723,Divyanshu sharma,Chola,B.Tech - Computer Science and Artificial Intelligence,Ajay Sharma,+91999962915,divyanshu.ajay@gmail.com,Red,True,False,False
Charan,Durga,2501010122,DURGA CHARAN,Chola,B.Tech - Computer Science and Artificial Intelligence,Ashok Durga,+91889361229,charan.ashok@gmail.com,Red,False,True,True
Garv,Grover,2501010165,GARV GROVER,Chola,B.Tech - Computer Science and Artificial Intelligence,Deepak Grover,+91913847215,garv.deepak@gmail.com,Blue,True,True,True
Garvit,Dhuran,2501010726,Garvit Dhuran,Chola,B.Tech - Computer Science and Artificial Intelligence,Vikram Dhuran,+91913281854,garvit.vikram@gmail.com,Red,False,True,False
Garvit,Gandhi,2501010166,GARVIT GANDHI,Chola,B.Tech - Computer Science and Artificial Intelligence,Rakesh Gandhi,+91794345362,garvit.rakesh@gmail.com,Red,True,True,True
Granth,gupta,2501010170,GRANTH GUPTA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ajay gupta,+91674266288,granth.ajay@gmail.com,Red,False,False,False
Gurtaz,Singh,2501010172,GURTAZ SINGH,Chola,B.Tech - Computer Science and Artificial Intelligence,Vinod Singh,+91864954299,gurtaz.vinod@gmail.com,Red,False,True,False
gyanshi,gupta,2501010173,GYANSHI GUPTA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ramesh gupta,+91625295410,gyanshi.ramesh@gmail.com,Red,True,True,True
Harsh,Raja,2501010177,HARSH RAJA,Chola,B.Tech - Computer Science and Artificial Intelligence,Anil Raja,+91682056059,harsh.anil@gmail.com,Red,True,False,False
Harsh,Tomar,2501010725,Harsh Tomar,Chola,B.Tech - Computer Science and Artificial Intelligence,Vijay Tomar,+91965330570,harsh.vijay@gmail.com,Red,True,False,True
Harsh,Vardhan,2501010175,HARSH VARDHAN,Chola,B.Tech - Computer Science and Artificial Intelligence,Vikram Vardhan,+91920194662,harsh.vikram@gmail.com,Blue,True,False,True
ISHAAN,GUPTA,2501010634,ISHAAN GUPTA,Chola,B.Tech - Computer Science and Artificial Intelligence,Ramesh GUPTA,+91806570376,ishaan.ramesh@gmail.com,Blue,False,False,True
Ishan,Bansal,2501010714,ISHAN BANSAL,Chola,B.Tech - Computer Science and Artificial Intelligence,Rakesh Bansal,+91919915161,ishan.rakesh@gmail.com,Red,True,True,True
Ishan,Chetwani,2501010194,ISHAN CHETWANI,Chola,B.Tech - Computer Science and Artificial Intelligence,Manoj Chetwani,+91884066101,ishan.manoj@gmail.com,Blue,True,True,False
Janvi,Saraf,2501010587,JANVI SARAF,Chola,B.Tech - Computer Science and Artificial Intelligence,Deepak Saraf,+91897010891,janvi.deepak@gmail.com,Blue,False,False,True
Jatasay,khetaan,2501010576,JATASAY KHETAAN,Chola,B.Tech - Computer Science and Artificial Intelligence,Rajesh khetaan,+91965224372,jatasay.rajesh@gmail.com,Red,True,True,False
kabir,vashisht,2501010208,KABIR VASHISHT,Chola,B.Tech - Computer Science and Artificial Intelligence,Anil vashisht,+91965990466,kabir.anil@gmail.com,Red,True,True,False
Kanika,Prajapati,2501010211,KANIKA PRAJAPATI,Chola,B.Tech - Computer Science and Artificial Intelligence,Ashok Prajapati,+91743250681,kanika.ashok@gmail.com,Red,True,True,False
Khyati,Dash,2501010223,KHYATI DASH,Chola,B.Tech - Computer Science and Artificial Intelligence,Sandeep Dash,+91659889117,khyati.sandeep@gmail.com,Blue,True,False,False
